user,track_id,n_plays,avg_ms,skip_count,meaningful_pct,skip_rate,weight
riya,4341,1,882.0,1,0.0,1.0,0.0
riya,4342,8,91815.625,5,0.375,0.625,0.8239592165010823
riya,4343,5,102353.4,2,0.6,0.4,1.0750556815368328
riya,4344,3,130844.66666666667,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4345,4,135902.25,1,0.75,0.25,1.2070784343255752
riya,4346,3,33010.666666666664,3,0.0,1.0,0.0
riya,4347,4,79873.0,3,0.25,0.75,0.40235947810852507
riya,4348,1,511.0,1,0.0,1.0,0.0
riya,4349,5,34495.4,3,0.2,0.6,0.358351893845611
riya,4350,1,3701.0,1,0.0,1.0,0.0
riya,4351,2,2763.0,2,0.0,1.0,0.0
riya,4352,2,22603.5,2,0.0,1.0,0.0
riya,4353,1,185646.0,0,1.0,0.0,0.6931471805599453
riya,4354,4,21811.75,4,0.0,1.0,0.0
riya,4355,3,59934.666666666664,1,0.3333333333333333,0.3333333333333333,0.46209812037329684
riya,4356,4,26809.75,4,0.0,1.0,0.0
riya,4357,4,201278.5,0,1.0,0.0,1.6094379124341003
riya,4358,2,129293.0,0,1.0,0.0,1.0986122886681098
riya,4359,2,166033.0,0,1.0,0.0,1.0986122886681098
riya,4360,1,109206.0,1,0.0,1.0,0.0
riya,4361,3,183175.0,0,1.0,0.0,1.3862943611198906
riya,4362,5,80862.2,2,0.6,0.4,1.0750556815368328
riya,4363,1,253983.0,0,1.0,0.0,0.6931471805599453
riya,4364,2,164904.5,0,1.0,0.0,1.0986122886681098
riya,4365,3,312961.3333333333,0,1.0,0.0,1.3862943611198906
riya,4366,3,7379.0,3,0.0,1.0,0.0
riya,4367,1,929.0,1,0.0,1.0,0.0
riya,4368,7,188667.57142857142,2,0.7142857142857143,0.2857142857142857,1.4853153869141684
riya,4369,3,5762.666666666667,3,0.0,1.0,0.0
riya,4370,3,190450.66666666666,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4371,1,168205.0,0,1.0,0.0,0.6931471805599453
riya,4372,1,2170.0,1,0.0,1.0,0.0
riya,4373,1,1060.0,1,0.0,1.0,0.0
riya,4374,2,1022.5,2,0.0,1.0,0.0
riya,4375,1,840.0,1,0.0,1.0,0.0
riya,4376,1,850.0,1,0.0,1.0,0.0
riya,4377,4,94711.25,1,0.75,0.25,1.2070784343255752
riya,4378,1,202240.0,0,1.0,0.0,0.6931471805599453
riya,4379,2,169319.5,0,1.0,0.0,1.0986122886681098
riya,4380,2,198630.0,0,1.0,0.0,1.0986122886681098
riya,4381,2,188578.5,1,0.5,0.5,0.5493061443340549
riya,4382,5,163846.0,1,0.8,0.2,1.433407575382444
riya,4383,2,98498.5,1,0.5,0.5,0.5493061443340549
riya,4384,4,84854.5,2,0.5,0.5,0.8047189562170501
riya,4385,2,250337.0,0,1.0,0.0,1.0986122886681098
riya,4386,2,77628.0,1,0.5,0.5,0.5493061443340549
riya,4387,3,277046.0,0,1.0,0.0,1.3862943611198906
riya,4388,3,55339.666666666664,3,0.0,1.0,0.0
riya,4389,1,1180.0,1,0.0,1.0,0.0
riya,4390,5,57093.0,4,0.2,0.8,0.358351893845611
riya,4391,2,85992.0,1,0.5,0.5,0.5493061443340549
riya,4392,2,224494.5,1,0.5,0.5,0.5493061443340549
riya,4393,2,56833.5,2,0.0,1.0,0.0
riya,4394,3,81928.66666666667,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4395,3,137130.33333333334,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4396,2,114698.5,1,0.5,0.5,0.5493061443340549
riya,4397,2,102758.0,1,0.5,0.5,0.5493061443340549
riya,4398,2,46071.0,2,0.0,1.0,0.0
riya,4399,4,10575.0,3,0.25,0.75,0.0
riya,4400,4,89754.75,1,0.75,0.25,1.2070784343255752
riya,4401,5,93994.6,2,0.4,0.4,0.716703787691222
riya,4402,2,88725.0,1,0.5,0.5,0.5493061443340549
riya,4403,6,103702.0,3,0.5,0.5,0.9729550745276566
riya,4404,1,224903.0,0,1.0,0.0,0.6931471805599453
riya,4405,1,122978.0,1,0.0,1.0,0.0
riya,4406,5,384830.8,2,0.6,0.4,1.0750556815368328
riya,4407,4,247125.5,0,1.0,0.0,1.6094379124341003
riya,4408,3,212346.66666666666,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4409,4,280518.5,0,1.0,0.0,1.6094379124341003
riya,4410,7,189631.2857142857,3,0.5714285714285714,0.42857142857142855,1.1882523095313346
riya,4411,3,195189.0,0,1.0,0.0,1.3862943611198906
riya,4412,2,197244.5,0,1.0,0.0,1.0986122886681098
riya,4413,2,294719.0,1,0.5,0.5,0.5493061443340549
riya,4414,1,145117.0,0,1.0,0.0,0.6931471805599453
riya,4415,1,162318.0,0,1.0,0.0,0.6931471805599453
riya,4416,1,130225.0,1,0.0,1.0,0.0
riya,4417,2,234505.0,0,1.0,0.0,1.0986122886681098
riya,4418,1,179260.0,0,1.0,0.0,0.6931471805599453
riya,4419,1,75014.0,1,0.0,1.0,0.0
riya,4420,1,91850.0,1,0.0,1.0,0.0
riya,4421,2,97884.0,0,0.5,0.0,0.5493061443340549
riya,4422,1,249067.0,0,1.0,0.0,0.6931471805599453
riya,4423,4,73484.0,4,0.0,1.0,0.0
riya,4424,3,3841.6666666666665,3,0.0,1.0,0.0
riya,4425,3,1478.6666666666667,3,0.0,1.0,0.0
riya,4426,2,45238.0,2,0.0,1.0,0.0
riya,4427,2,947.0,2,0.0,1.0,0.0
riya,4428,2,187066.5,1,0.5,0.5,0.5493061443340549
riya,4429,5,83573.0,3,0.2,0.6,0.358351893845611
riya,4430,1,11685.0,1,0.0,1.0,0.0
riya,4431,8,150147.25,2,0.75,0.25,1.6479184330021646
riya,4432,1,209.0,0,0.0,0.0,0.0
riya,4433,1,220226.0,0,1.0,0.0,0.6931471805599453
riya,4434,2,238627.0,0,1.0,0.0,1.0986122886681098
riya,4435,1,267080.0,0,1.0,0.0,0.6931471805599453
riya,4436,2,229360.0,0,1.0,0.0,1.0986122886681098
riya,4437,1,239987.0,0,1.0,0.0,0.6931471805599453
riya,4438,1,19698.0,1,0.0,1.0,0.0
riya,4439,1,264373.0,0,1.0,0.0,0.6931471805599453
riya,4440,1,7931.0,1,0.0,1.0,0.0
riya,4441,2,221253.0,0,1.0,0.0,1.0986122886681098
riya,4442,1,235493.0,0,1.0,0.0,0.6931471805599453
riya,4443,1,182306.0,0,1.0,0.0,0.6931471805599453
riya,4444,1,91994.0,0,1.0,0.0,0.6931471805599453
riya,4445,1,283227.0,0,1.0,0.0,0.6931471805599453
riya,4446,1,27453.0,1,0.0,1.0,0.0
riya,4447,1,13073.0,1,0.0,1.0,0.0
riya,4448,22,222078.4090909091,2,0.9090909090909091,0.09090909090909091,2.850449287208318
riya,4449,8,156423.5,3,0.625,0.375,1.3732653608351373
riya,4450,5,101452.0,2,0.6,0.4,1.0750556815368328
riya,4451,3,46398.666666666664,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4452,4,83394.75,1,0.5,0.25,0.8047189562170501
riya,4453,2,117444.5,1,0.5,0.5,0.5493061443340549
riya,4454,2,1463.0,2,0.0,1.0,0.0
riya,4455,4,22308.25,3,0.25,0.75,0.40235947810852507
